period,price_band,units
Q1-2023,<4000,24.0
Q2-2023,<4000,12.0
Q3-2023,<4000,20.0
Q4-2023,<4000,20.0
Q1-2024,<4000,24.0
Q2-2024,<4000,27.0
Q3-2024,<4000,17.0
Q4-2024,<4000,7.0
Q1-2025,<4000,0.0
Q2-2025,<4000,0.0
Q3-2025,<4000,0.0
Q4-2025,<4000,0.0
Q1-2023,4001-5000,42.0
Q2-2023,4001-5000,0.0
Q3-2023,4001-5000,0.0
Q4-2023,4001-5000,0.0
Q1-2024,4001-5000,0.0
Q2-2024,4001-5000,0.0
Q3-2024,4001-5000,0.0
Q4-2024,4001-5000,0.0
Q1-2025,4001-5000,0.0
Q2-2025,4001-5000,0.0
Q3-2025,4001-5000,0.0
Q4-2025,4001-5000,0.0
Q1-2023,5001-6000,55.0
Q2-2023,5001-6000,71.0
Q3-2023,5001-6000,269.0
Q4-2023,5001-6000,0.0
Q1-2024,5001-6000,0.0
Q2-2024,5001-6000,0.0
Q3-2024,5001-6000,0.0
Q4-2024,5001-6000,0.0
Q1-2025,5001-6000,0.0
Q2-2025,5001-6000,0.0
Q3-2025,5001-6000,0.0
Q4-2025,5001-6000,0.0
Q1-2023,6001-7000,0.0
Q2-2023,6001-7000,0.0
Q3-2023,6001-7000,860.0
Q4-2023,6001-7000,266.0
Q1-2024,6001-7000,143.0
Q2-2024,6001-7000,0.0
Q3-2024,6001-7000,0.0
Q4-2024,6001-7000,0.0
Q1-2025,6001-7000,0.0
Q2-2025,6001-7000,0.0
Q3-2025,6001-7000,0.0
Q4-2025,6001-7000,0.0
Q1-2023,7001-8000,0.0
Q2-2023,7001-8000,0.0
Q3-2023,7001-8000,0.0
Q4-2023,7001-8000,890.0
Q1-2024,7001-8000,532.0
Q2-2024,7001-8000,182.0
Q3-2024,7001-8000,47.0
Q4-2024,7001-8000,807.0
Q1-2025,7001-8000,355.0
Q2-2025,7001-8000,157.0
Q3-2025,7001-8000,86.0
Q4-2025,7001-8000,78.0
Q1-2023,8001-9000,0.0
Q2-2023,8001-9000,0.0
Q3-2023,8001-9000,0.0
Q4-2023,8001-9000,0.0
Q1-2024,8001-9000,361.0
Q2-2024,8001-9000,283.0
Q3-2024,8001-9000,329.0
Q4-2024,8001-9000,667.0
Q1-2025,8001-9000,186.0
Q2-2025,8001-9000,100.0
Q3-2025,8001-9000,126.0
Q4-2025,8001-9000,76.0
Q1-2023,9001-10000,0.0
Q2-2023,9001-10000,0.0
Q3-2023,9001-10000,0.0
Q4-2023,9001-10000,0.0
Q1-2024,9001-10000,0.0
Q2-2024,9001-10000,0.0
Q3-2024,9001-10000,128.0
Q4-2024,9001-10000,160.0
Q1-2025,9001-10000,368.0
Q2-2025,9001-10000,350.0
Q3-2025,9001-10000,358.0
Q4-2025,9001-10000,20.0
Q1-2023,10001-11000,0.0
Q2-2023,10001-11000,0.0
Q3-2023,10001-11000,0.0
Q4-2023,10001-11000,0.0
Q1-2024,10001-11000,0.0
Q2-2024,10001-11000,0.0
Q3-2024,10001-11000,0.0
Q4-2024,10001-11000,0.0
Q1-2025,10001-11000,2.0
Q2-2025,10001-11000,5.0
Q3-2025,10001-11000,5.0
Q4-2025,10001-11000,5.0
Q1-2023,11001-12000,0.0
Q2-2023,11001-12000,0.0
Q3-2023,11001-12000,0.0
Q4-2023,11001-12000,0.0
Q1-2024,11001-12000,0.0
Q2-2024,11001-12000,0.0
Q3-2024,11001-12000,0.0
Q4-2024,11001-12000,0.0
Q1-2025,11001-12000,0.0
Q2-2025,11001-12000,0.0
Q3-2025,11001-12000,0.0
Q4-2025,11001-12000,0.0
Q1-2023,>12000,0.0
Q2-2023,>12000,0.0
Q3-2023,>12000,0.0
Q4-2023,>12000,0.0
Q1-2024,>12000,0.0
Q2-2024,>12000,0.0
Q3-2024,>12000,0.0
Q4-2024,>12000,0.0
Q1-2025,>12000,0.0
Q2-2025,>12000,0.0
Q3-2025,>12000,0.0
Q4-2025,>12000,22.0
