source_project,Stage,Created Date,Primary Source,Apartment Sub Type,Apartment,Postal Code,City,First Time Buyer,1st Applicant Age,1st Applicant Gender,Industry,Occupation-1st Applicant,1st Appicant Annual Income,Annual Household Income in Lakhs
Atmosphere,5.Booking Confirmed,9/8/2023,Channel Partner,3BHK Grand,Atmosphere/T1/002,560043,Bangalore,First Home,48,,Others,HOUSEWIFE,,
Atmosphere,5.Booking Confirmed,25/1/2026,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/003,122018,Gurugram,,32,,,SALARIED,,
Atmosphere,5.Booking Confirmed,8/12/2025,Purva Champion,3BHK Grand,Atmosphere/T1/004,560077,Bengaluru,First Home,52,Female,IT/ITES,SALARIED,,
Atmosphere,5.Booking Confirmed,15/5/2023,Purva Privilege,4BHK,Atmosphere/T1/005,560024,Bangalore,First Home,49,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,15/9/2025,Purva Champion,3BHK Grand,Atmosphere/T1/006,560064,Bengaluru,First Home,58,Male,Real Estate,Salaried,80L-1Cr,
Atmosphere,5.Booking Confirmed,15/10/2022,Purva Privilege,2BHK,Atmosphere/T1/007,226016,Lucknow,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,20/9/2020,Channel Partner,2BHK,Atmosphere/T1/008,581320,Bangalore,First Home,32,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,28/5/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/102,,,,40,,,,,
Atmosphere,5.Booking Confirmed,8/12/2025,Purva Champion,3BHK Grand,Atmosphere/T1/103,560077,Bengaluru,First Home,59,Male,Education,BUSINESS,,
Atmosphere,5.Booking Confirmed,15/6/2025,Channel Partner,3BHK Grand,Atmosphere/T1/104,560092,Bengaluru,First Home,71,Female,Others,Homemaker,<5 lacs,
Atmosphere,5.Booking Confirmed,12/11/2021,Digital Marketing,4BHK,Atmosphere/T1/105,,,,52 Years,,,Financial Services,,
Atmosphere,5.Booking Confirmed,3/4/2021,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/106,,,,72,,,SALARIED,,
Atmosphere,5.Booking Confirmed,23/5/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/107,,,,39 Years,,,Petrolium,,
Atmosphere,5.Booking Confirmed,16/8/2020,Purva Privilege,3BHK LUXE,Atmosphere/T1/201,560054,Bangalore,,,,,,,
Atmosphere,5.Booking Confirmed,19/1/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/202,,,,46,,,SALARIED,,
Atmosphere,5.Booking Confirmed,17/5/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/203,110070,New Delhi,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,29/3/2024,Channel Partner,3BHK Grand,Atmosphere/T1/204,500033,Hyderabad,First Home,,Female,Others,HOUSEWIFE,,
Atmosphere,5.Booking Confirmed,6/6/2020,Digital Marketing,4BHK,Atmosphere/T1/205,,,,61,,,SALARIED,,
Atmosphere,5.Booking Confirmed,9/8/2020,Digital Marketing,3BHK LUXE,Atmosphere/T1/206,,,,,,,,,
Atmosphere,5.Booking Confirmed,8/10/2021,Channel Partner,3BHK Grand,Atmosphere/T1/207,,,,19 Years,,,,,
Atmosphere,5.Booking Confirmed,21/5/2024,Channel Partner,3BHK Grand,Atmosphere/T1/208,560022,Bangalore,First Home,,Male,IT/ITES,Salaried,>75 Lakhs,
Atmosphere,5.Booking Confirmed,24/3/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/301,,,,,,,Bahrain Petroleum Company,,
Atmosphere,5.Booking Confirmed,22/1/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/302,,,,,,,Homemaker,,
Atmosphere,5.Booking Confirmed,18/8/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/303,560005,Bangalore,First Home,32,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,2/8/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/304,560045,Bangalore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,6/3/2022,Digital Marketing,4BHK,Atmosphere/T1/305,,,,,,,Google India Pvt Ltd,,
Atmosphere,5.Booking Confirmed,19/12/2020,Digital Marketing,3BHK Grand,Atmosphere/T1/306,,,,44,,,,,
Atmosphere,5.Booking Confirmed,4/3/2024,Channel Partner,3BHK Grand,Atmosphere/T1/307,576228,Udupi,First Home,45,Male,Manufacturing,Salaried,,
Atmosphere,5.Booking Confirmed,6/6/2020,Digital Marketing,3BHK Grand,Atmosphere/T1/308,,,,,,,,,
Atmosphere,5.Booking Confirmed,6/6/2020,Digital Marketing,3BHK Grand,Atmosphere/T1/501,,,,61,,,Salried,,
Atmosphere,5.Booking Confirmed,8/10/2021,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/502,560 016,,,40 Years,,,IT,,
Atmosphere,5.Booking Confirmed,4/6/2024,Channel Partner,3BHK Grand,Atmosphere/T1/503,560097,Bangalore,First Home,61,Female,Others,Salaried,36 - 75 Lakhs,
Atmosphere,5.Booking Confirmed,22/10/2024,Purva Champion,3BHK Grand,Atmosphere/T1/504,577111,chikmagalur,First Home,,Male,Retail,Salaried,>75 Lakhs,
Atmosphere,5.Booking Confirmed,26/12/2021,Channel Partner,4BHK,Atmosphere/T1/505,,,,,,,Financial Services,,
Atmosphere,5.Booking Confirmed,3/1/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/506,,,,39,,,SALARIED,,
Atmosphere,5.Booking Confirmed,27/6/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/507,,,,,,,,,
Atmosphere,5.Booking Confirmed,16/6/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/508,,,,64,,,SALARIED,,
Atmosphere,5.Booking Confirmed,26/8/2021,Channel Partner,3BHK LUXE,Atmosphere/T1/601,,,,,,,Amazon,,
Atmosphere,5.Booking Confirmed,19/9/2021,Channel Partner,3BHK Grand,Atmosphere/T1/602,,,,36 years,,,IT,,
Atmosphere,5.Booking Confirmed,5/6/2023,Channel Partner,3BHK Grand,Atmosphere/T1/603,560094,Bangalore,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,19/6/2023,Channel Partner,3BHK Grand,Atmosphere/T1/604,600018,Chennai,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,12/11/2021,Direct WalkIn / Site Branding,4BHK,Atmosphere/T1/605,,,,41,,,HOUSE WIFE,,
Atmosphere,5.Booking Confirmed,28/7/2020,Digital Marketing,3BHK LUXE,Atmosphere/T1/606,,,,52,,,SALARIED,,
Atmosphere,5.Booking Confirmed,12/1/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/607,560043,Banglore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,7/1/2026,Channel Partner,3BHK Grand,Atmosphere/T1/608,110049,New Delhi,First Home,67,Male,Others,Retired,,
Atmosphere,5.Booking Confirmed,13/2/2021,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/701,,,,41,,,,,
Atmosphere,5.Booking Confirmed,7/4/2021,Channel Partner,3BHK Grand,Atmosphere/T1/702,,,,44,,,,,
Atmosphere,5.Booking Confirmed,18/3/2023,Channel Partner,3BHK Grand,Atmosphere/T1/703,560077,Bangalore,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,16/4/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/704,560048,Bangalore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,6/7/2021,Channel Partner,4BHK,Atmosphere/T1/705,560075,Bangalore,First Home,40,Female,Financial Services,Salaried,,
Atmosphere,5.Booking Confirmed,14/6/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/706,342008,Rajasthan,First Home,,Male,IT/ITES,Business,,
Atmosphere,5.Booking Confirmed,11/10/2021,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/707,,,,,,,HOUSEWIFE,,
Atmosphere,5.Booking Confirmed,23/3/2025,Self Generated,3BHK Grand,Atmosphere/T1/708,560077,Bangalore,First Home,46,Female,Healthcare,Salaried,>75 lakhs,
Atmosphere,5.Booking Confirmed,18/4/2021,Channel Partner,3BHK LUXE,Atmosphere/T1/801,,,,,,,Booz Allen Hamilton,,
Atmosphere,5.Booking Confirmed,16/8/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/802,,,,34,,,,,
Atmosphere,5.Booking Confirmed,12/3/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/803,560068,Bangalore,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,18/6/2023,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/804,560092,Bangalore,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,3/10/2021,Digital Marketing,4BHK,Atmosphere/T1/805,,,,51,,,SALARIED,,
Atmosphere,5.Booking Confirmed,15/9/2020,Channel Partner,3BHK LUXE,Atmosphere/T1/806,,,,43,,,SALARIED,,
Atmosphere,5.Booking Confirmed,4/1/2025,Channel Partner,3BHK Grand,Atmosphere/T1/807,560076,Bengaluru,First Home,37,Male,IT/ITES,Salaried,>75 Lakhs,
Atmosphere,5.Booking Confirmed,8/9/2025,Channel Partner,3BHK Grand,Atmosphere/T1/808,560064,Bangalore,First Home,70,Female,Others,Homemaker,,
Atmosphere,5.Booking Confirmed,13/12/2020,Channel Partner,3BHK Grand,Atmosphere/T1/901,,,,54,,,SALARIED,,
Atmosphere,5.Booking Confirmed,8/5/2022,Channel Partner,3BHK Grand,Atmosphere/T1/902,,,,37,,,,,
Atmosphere,5.Booking Confirmed,4/7/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/903,,,,29,,,Concur SAP,,
Atmosphere,5.Booking Confirmed,18/7/2023,Channel Partner,3BHK Grand,Atmosphere/T1/904,560067,Bangalore,First Home,37,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,22/2/2021,Digital Marketing,4BHK,Atmosphere/T1/905,,,,49,,,,,
Atmosphere,5.Booking Confirmed,6/6/2020,Channel Partner,3BHK Grand,Atmosphere/T1/906,,,,,,,,,
Atmosphere,5.Booking Confirmed,19/8/2024,Channel Partner,3BHK Grand,Atmosphere/T1/907,800007,Patna,First Home,,Female,Others,HOUSEWIFE,>75 Lakhs,
Atmosphere,5.Booking Confirmed,2/11/2024,Purva Privilege,3BHK Grand,Atmosphere/T1/908,201005,Uttar Pradesh,First Home,,Male,Others,Salaried,36-75 Lakhs,
Atmosphere,5.Booking Confirmed,18/4/2021,Channel Partner,3BHK LUXE,Atmosphere/T1/1001,,,,42,,,SALARIED,,
Atmosphere,5.Booking Confirmed,24/6/2020,Purva Privilege,3BHK Grand,Atmosphere/T1/1002,,,,,,,Senior Management,,
Atmosphere,5.Booking Confirmed,26/2/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/1003,560100,Bangalore,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,31/8/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/1004,322230,Karouli,First Home,31,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,9/2/2021,Channel Partner,4BHK,Atmosphere/T1/1005,,,,29,,,,,
Atmosphere,5.Booking Confirmed,12/9/2020,Channel Partner,3BHK LUXE,Atmosphere/T1/1006,,,,34,,,SALARIED,,
Atmosphere,5.Booking Confirmed,15/8/2024,Channel Partner,3BHK Grand,Atmosphere/T1/1007,560043,Bangalore,First Home,,Female,Financial Services,Business,>75 Lakhs,
Atmosphere,5.Booking Confirmed,19/4/2021,Channel Partner,3BHK Grand,Atmosphere/T1/1008,,,,,,,,,
Atmosphere,5.Booking Confirmed,6/6/2020,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/1101,,,,,,,IT,,
Atmosphere,5.Booking Confirmed,7/10/2021,Purva Privilege,3BHK Grand,Atmosphere/T1/1102,,,,38 Years,,,IT,,
Atmosphere,5.Booking Confirmed,10/1/2023,Channel Partner,3BHK Grand,Atmosphere/T1/1103,560043,Bangalore,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,9/7/2023,Channel Partner,3BHK Grand,Atmosphere/T1/1104,028027,USA,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,6/6/2020,Digital Marketing,4BHK,Atmosphere/T1/1105,,,,35,,,SALARIED,,
Atmosphere,5.Booking Confirmed,6/6/2020,Database,3BHK Grand,Atmosphere/T1/1106,,,,42,,,SALARIED,,
Atmosphere,5.Booking Confirmed,1/9/2021,Channel Partner,3BHK Grand,Atmosphere/T1/1107,,,,34,,,,,
Atmosphere,5.Booking Confirmed,10/7/2022,Channel Partner,3BHK Grand,Atmosphere/T1/1108,,,,41 Years,,,IT,,
Atmosphere,5.Booking Confirmed,17/4/2021,Digital Marketing,3BHK LUXE,Atmosphere/T1/1201,,,,35,,,,,
