month,supply_units,absorption_units,available_units,cumulative_supply,cumulative_absorption,cumulative_availability
2023-01,402,401,1.0,402,401,1
2023-07,1591,1555,36.0,1993,1956,37
2023-11,1512,1452,60.0,3505,3408,97
2024-01,349,225,124.0,3854,3633,221
2024-02,1228,997,231.0,5082,4630,452
2024-05,948,948,,6030,5578,452
2024-08,800,800,,6830,6378,452
2024-10,2076,1516,560.0,8906,7894,1012
2024-12,581,576,5.0,9487,8470,1017
2025-03,100,17,83.0,9587,8487,1100
2025-08,500,33,467.0,10087,8520,1567
2025-11,196,22,174.0,10283,8542,1741
