month,absorbed_units,unsold_units,inventory_overhang_months
2023-01,54,348,6
2023-02,38,310,7
2023-03,29,281,7
2023-04,24,257,7
2023-05,37,220,6
2023-06,22,198,6
2023-07,324,1465,19
2023-08,424,1041,9
2023-09,401,640,4
2023-10,127,513,3
2023-11,587,1438,8
2023-12,462,976,5
2024-01,294,1031,4
2024-02,480,1779,7
2024-03,286,1493,5
2024-04,129,1364,5
2024-05,197,2115,7
2024-06,166,1949,6
2024-07,134,1815,6
2024-08,193,2422,8
2024-09,194,2228,8
2024-10,475,3829,13
2024-11,400,3429,12
2024-12,766,3244,10
2025-01,336,2908,9
2025-02,306,2602,9
2025-03,269,2433,8
2025-04,236,2197,7
2025-05,196,2001,7
2025-06,180,1821,6
2025-07,215,1606,5
2025-08,217,1889,6
2025-09,143,1746,6
2025-10,77,1669,6
2025-11,124,1741,7
