project,fy_label,quarter,period_start,spend_cr
Park Square,FY 18,1,2018-04-01,0.594
Park Square,FY 18,2,2018-07-01,2.0442
Park Square,FY 18,3,2018-10-01,2.9086
Park Square,FY 18,4,2019-01-01,3.4732
Park Square,FY 19,1,2019-04-01,1.5174
Park Square,FY 19,2,2019-07-01,1.1078
Park Square,FY 19,3,2019-10-01,0.8413
Park Square,FY 19,4,2020-01-01,0.6806
Park Square,FY 20,1,2020-04-01,-0.187
Park Square,FY 20,2,2020-07-01,1.1199
Park Square,FY 20,3,2020-10-01,0.8576
Park Square,FY 20,4,2021-01-01,1.1023
Park Square,FY 21,1,2021-04-01,0.321
Park Square,FY 21,2,2021-07-01,0.7259
Park Square,FY 21,3,2021-10-01,0.7536
Park Square,FY 21,4,2022-01-01,1.3154
Park Square,FY 22,1,2022-04-01,6.6867
Park Square,FY 22,2,2022-07-01,1.3119
Park Square,FY 22,3,2022-10-01,2.7112
Park Square,FY 22,4,2023-01-01,2.2047
Park Square,FY 23,1,2023-04-01,0.84
Park Square,FY 23,2,2023-07-01,1.0792
Park Square,FY 23,3,2023-10-01,0.9984
Park Square,FY 23,4,2024-01-01,2.6035
Park Square,FY 24,1,2024-04-01,4.3886
Park Square,FY 24,2,2024-07-01,2.0471
"Sunworth - Equinox (NPQR, KLM)",FY 18,1,2018-04-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 18,2,2018-07-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 18,3,2018-10-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 18,4,2019-01-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 19,1,2019-04-01,0.0794
"Sunworth - Equinox (NPQR, KLM)",FY 19,2,2019-07-01,0.594
"Sunworth - Equinox (NPQR, KLM)",FY 19,3,2019-10-01,1.9683
"Sunworth - Equinox (NPQR, KLM)",FY 19,4,2020-01-01,1.9939
"Sunworth - Equinox (NPQR, KLM)",FY 20,1,2020-04-01,0.2871
"Sunworth - Equinox (NPQR, KLM)",FY 20,2,2020-07-01,1.3464
"Sunworth - Equinox (NPQR, KLM)",FY 20,3,2020-10-01,1.9107
"Sunworth - Equinox (NPQR, KLM)",FY 20,4,2021-01-01,1.9803
"Sunworth - Equinox (NPQR, KLM)",FY 21,1,2021-04-01,0.2405
"Sunworth - Equinox (NPQR, KLM)",FY 21,2,2021-07-01,1.2541
"Sunworth - Equinox (NPQR, KLM)",FY 21,3,2021-10-01,1.9154
"Sunworth - Equinox (NPQR, KLM)",FY 21,4,2022-01-01,1.1906
"Sunworth - Equinox (NPQR, KLM)",FY 22,1,2022-04-01,0.7814
"Sunworth - Equinox (NPQR, KLM)",FY 22,2,2022-07-01,0.7314
"Sunworth - Equinox (NPQR, KLM)",FY 22,3,2022-10-01,1.3681
"Sunworth - Equinox (NPQR, KLM)",FY 22,4,2023-01-01,1.1447
"Sunworth - Equinox (NPQR, KLM)",FY 23,1,2023-04-01,1.448
"Sunworth - Equinox (NPQR, KLM)",FY 23,2,2023-07-01,0.982
"Sunworth - Equinox (NPQR, KLM)",FY 23,3,2023-10-01,0.727
"Sunworth - Equinox (NPQR, KLM)",FY 23,4,2024-01-01,1.3832
"Sunworth - Equinox (NPQR, KLM)",FY 24,1,2024-04-01,0.9523
"Sunworth - Equinox (NPQR, KLM)",FY 24,2,2024-07-01,0.3592
Sunworth - Future (GHJK),FY 18,1,2018-04-01,0.0
Sunworth - Future (GHJK),FY 18,2,2018-07-01,0.0
Sunworth - Future (GHJK),FY 18,3,2018-10-01,0.0
Sunworth - Future (GHJK),FY 18,4,2019-01-01,0.0
Sunworth - Future (GHJK),FY 21,1,2021-04-01,0.0
Sunworth - Future (GHJK),FY 21,2,2021-07-01,0.0
Sunworth - Future (GHJK),FY 21,3,2021-10-01,0.0
Sunworth - Future (GHJK),FY 21,4,2022-01-01,0.0
Sunworth - Future (GHJK),FY 23,1,2023-04-01,0.0603
Sunworth - Future (GHJK),FY 23,2,2023-07-01,0.0006
Sunworth - Future (GHJK),FY 23,3,2023-10-01,0.0
Sunworth - Future (GHJK),FY 23,4,2024-01-01,0.0
Sunworth - Future (GHJK),FY 24,1,2024-04-01,0.0578
Sunworth - Future (GHJK),FY 24,2,2024-07-01,0.0
Deansgate (1),FY 18,1,2018-04-01,0.0
Deansgate (1),FY 18,2,2018-07-01,0.0
Deansgate (1),FY 18,3,2018-10-01,0.0
Deansgate (1),FY 18,4,2019-01-01,0.0
Deansgate (1),FY 19,1,2019-04-01,0.0
Deansgate (1),FY 19,2,2019-07-01,0.0
Deansgate (1),FY 19,3,2019-10-01,0.0
Deansgate (1),FY 19,4,2020-01-01,0.0
Deansgate (1),FY 20,1,2020-04-01,0.0
Deansgate (1),FY 20,2,2020-07-01,0.0
Deansgate (1),FY 20,3,2020-10-01,0.0
Deansgate (1),FY 20,4,2021-01-01,0.0
Deansgate (1),FY 21,1,2021-04-01,0.0
Deansgate (1),FY 21,2,2021-07-01,0.0
Deansgate (1),FY 21,3,2021-10-01,0.0
Deansgate (1),FY 21,4,2022-01-01,0.0
Deansgate (1),FY 22,1,2022-04-01,0.0
Deansgate (1),FY 22,2,2022-07-01,0.0
Deansgate (1),FY 22,3,2022-10-01,0.0
Deansgate (1),FY 22,4,2023-01-01,0.2075
Deansgate (1),FY 23,1,2023-04-01,0.1579
Deansgate (1),FY 23,2,2023-07-01,1.5773
Deansgate (1),FY 23,3,2023-10-01,3.1016
Deansgate (1),FY 23,4,2024-01-01,1.9226
Deansgate (1),FY 24,1,2024-04-01,2.8636
Deansgate (1),FY 24,2,2024-07-01,1.6985
Ecopolitan (1),FY 18,1,2018-04-01,0.0
Ecopolitan (1),FY 18,2,2018-07-01,0.0
Ecopolitan (1),FY 18,3,2018-10-01,0.0
Ecopolitan (1),FY 18,4,2019-01-01,0.0
Ecopolitan (1),FY 19,1,2019-04-01,0.0
Ecopolitan (1),FY 19,2,2019-07-01,0.0
