month,projects_launched,units_launched,wt_min_psf,wt_avg_psf,wt_max_psf,absorbed_units
2023-01,2.0,402.0,6491.0,6770.0,7049.0,54.0
2023-07,2.0,1591.0,8309.0,8700.0,9091.0,293.0
2023-11,1.0,1512.0,8050.0,8400.0,8750.0,485.0
2024-01,1.0,349.0,8050.0,8400.0,8750.0,41.0
2024-02,3.0,1228.0,8580.0,8823.0,9066.0,269.0
2024-05,1.0,948.0,9400.0,9700.0,10000.0,98.0
2024-08,1.0,800.0,9400.0,9700.0,10000.0,58.0
2024-10,2.0,2076.0,7785.0,7785.0,7785.0,338.0
2024-12,1.0,581.0,9400.0,9895.0,10390.0,475.0
2025-03,1.0,100.0,10500.0,10500.0,10500.0,2.0
2025-08,1.0,500.0,7700.0,7700.0,7700.0,11.0
2025-11,1.0,196.0,17285.0,17285.0,17285.0,22.0
