zone,lat,lon,avg_price_psf,price_trend_yoy_pct,metro_km,highway_km,hospitals,schools,malls,parks,flood_risk,air_quality_index,population_growth_index
Bagaluru / KIADB,13.15,77.68,8200,12.5,2.1,0.8,4,6,2,3,Low,72,88
Yelahanka,13.1,77.6,7800,9.0,1.5,3.2,8,12,5,6,Low,78,82
Devanahalli,13.25,77.71,6500,14.0,4.5,1.2,3,5,1,2,Medium,65,79
Hebbal,13.05,77.59,11500,7.5,0.6,2.5,10,14,6,4,Low,80,76
Thanisandra,13.08,77.64,9200,10.2,2.8,4.0,6,9,3,5,Low,74,80
Jakkur,13.07,77.62,9800,8.8,1.2,3.5,5,8,4,7,Low,76,81
Hennur,13.04,77.66,8800,11.0,3.5,5.0,7,10,3,4,Medium,70,77
Kogilu,13.12,77.63,7400,10.5,2.0,6.0,3,5,2,2,Low,68,75
Bettahalasuru,13.17,77.7,6100,13.2,5.0,0.5,2,3,1,1,Medium,60,73
Chikkajala,13.19,77.66,5800,15.0,6.0,8.0,1,2,0,1,High,55,62
Whitefield,12.97,77.75,10500,6.5,0.8,1.0,12,18,8,9,Low,82,90
Electronic City,12.84,77.67,7800,5.5,4.2,2.0,9,15,5,6,Medium,71,74
Sarjapur,12.91,77.78,8200,9.8,5.5,7.0,6,11,3,4,Medium,69,76
Koramangala,12.93,77.62,14500,4.2,1.0,2.2,15,20,10,8,Low,85,70
Indiranagar,12.97,77.64,16000,3.8,0.5,1.5,14,16,9,7,Low,86,68
Banashankari,12.92,77.55,9500,5.0,2.5,3.0,10,14,6,8,Low,79,72
RR Nagar,12.92,77.52,7200,6.0,3.0,4.5,7,10,4,5,Low,73,71
Mysore Road,12.95,77.52,6800,7.2,4.0,5.5,5,8,3,3,Medium,66,65
Tumkur Road,13.05,77.5,7000,8.5,3.8,6.5,4,7,2,3,Medium,64,69
Airport Road Corridor,13.2,77.7,9000,16.0,1.0,0.3,4,6,2,3,Low,75,85
KR Puram,13.01,77.7,8600,7.0,0.9,2.8,8,12,4,5,Low,74,78
CV Raman Nagar,12.98,77.66,10000,5.8,1.8,3.2,9,11,5,4,Low,77,75
Marathahalli,12.96,77.7,9800,6.2,2.2,1.8,10,13,6,5,Low,76,79
Bellandur,12.93,77.67,11000,5.0,3.0,2.5,11,14,7,6,Medium,78,77
Chaya Nagar / Raja Nagar proxy,13.09,77.61,7600,9.5,2.4,4.2,5,7,2,3,Low,70,74
